Date:,Time:,Temperature (F):,Weather:,Classes:,Ate:,Exercise:
2026-04-26,0:36,54,night,0,2,no
2026-04-26,12:53,63,cloudy,0,0,no
2026-04-26,13:58,63,cloudy,0,1,no
2026-04-26,20:21,58,night,0,1,no
2026-04-26,21:26,56,night,0,2,no
2026-04-27,10:33,61,sunny,0,1,no
2026-04-27,16:07,66,windy,1,1,no
2026-04-27,17:44,65,windy,1,2,no
2026-04-28,7:35,52,sunny,0,0,no
2026-04-28,9:57,53,sunny,1,0,no
2026-04-28,10:17,53,sunny,1,1,no
2026-04-28,17:16,69,sunny,2,1,no
2026-04-28,17:37,66,sunny,2,2,no
2026-04-28,23:47,57,night,2,2,no
2026-04-29,9:31,62,sunny,0,1,no
2026-04-29,18:09,69,sunny,1,1,no
2026-04-29,22:10,60,night,1,2,no
2026-04-30,7:06,55,sunny,0,0,no
2026-04-30,10:50,69,sunny,1,1,no
2026-04-30,16:09,73,sunny,3,1,no
2026-04-30,23:15,59,night,3,2,no
2026-05-01,8:27,60,cloudy,0,0,no
2026-05-01,15:27,68,sunny,2,0,no
2026-05-01,18:31,67,sunny,2,1,yes
2026-05-01,22:19,60,night,2,1,yes
2026-05-01,23:00,59,night,2,2,yes
2026-05-02,7:30,57,cloudy,0,0,no
2026-05-02,8:00,59,cloudy,0,0,no
2026-05-02,12:59,64,cloudy,0,2,no
2026-05-02,17:00,67,sunny,0,2,no
2026-05-02,18:58,64,sunny,0,3,no
2026-05-03,10:55,59,cloudy,0,0,no
2026-05-03,17:53,62,cloudy,0,1,no
2026-05-03,20:08,60,night,0,1,no
2026-05-03,21:32,59,night,0,2,no
2026-05-04,9:06,59,sunny,0,0,no
2026-05-04,9:30,60,sunny,0,1,no
2026-05-04,15:40,63,cloudy ,1,1,no
2026-05-04,16:43,62,cloudy ,1,2,no
2026-05-05,7:15,55,cloudy,0,0,no
2026-05-05,7:33,55,cloudy,0,1,no
2026-05-05,15:22,64,windy,2,1,no
2026-05-05,18:05,63,windy,2,2,no
2026-05-05,23:03,57,night,2,2,no
2026-05-06,9:14,61,sunny,0,0,no
2026-05-06,9:41,63,sunny,0,1,no
2026-05-06,14:50,68,sunny,2,1,no
2026-05-06,21:19,62,night,2,1,no
2026-05-06,22:40,60,night,2,2,no
2026-05-07,11:12,67,sunny,1,0,no
2026-05-07,11:43,67,sunny,1,1,no
2026-05-07,19:10,68,sunny,3,2,no
2026-05-08,9:13,63,cloudy,0,0,no
2026-05-08,13:19,67,cloudy,2,1,no
2026-05-08,20:02,66,sunny,2,2,no
2026-05-08,23:26,61,night,2,2,no
2026-05-09,11:06,69,cloudy,0,0,no
2026-05-09,12:34,72,sunny,0,1,no
2026-05-09,21:42,62,night,0,1,no
2026-05-09,22:49,60,night,0,2,no
2026-05-10,11:45,68,cloudy,0,0,no
2026-05-10,12:42,71,cloudy,0,1,no
2026-05-10,20:35,60,night,0,1,no
2026-05-10,21:48,60,night,0,2,no
2026-05-11,9:52,59,cloudy,0,0,no
2026-05-11,10:32,64,cloudy,0,1,no
2026-05-11,16:54,67,cloudy,1,1,no
2026-05-11,21:54,60,night,1,2,no
2026-05-11,23:07,59,night,1,2,no
2026-05-12,7:20,56,cloudy,0,0,no
2026-05-12,7:32,56,cloudy,0,1,no
